title,description,price,type,area,rooms,bathrooms,status,city,department,address,image
Apartamento en El Poblado,Amplio apartamento con vista panorámica,3500000,Arriendo,95.0,2,2,Disponible,Medellín,Antiquia,Calle 10A #36-50,properties/property_rent.jpg
Casa en Envigado,Hermosa casa unifamiliar con jardín,550000000,Venta,180.5,4,3,Disponible,Envigado,Antioquia,Carrera 45 #34 Sur-12,properties/property_sale.jpg
Apartamento en Laureles,Apartamento moderno cerca a la universidad,280000000,Venta,80.0,3,2,Disponible,Medellín,Antioquia,Circular 73A #39-25,properties/property_sale.jpg
Casa campestre,Finca con piscina y zona de BBQ,7000000,Arriendo,250.0,3,3,Disponible,La Ceja,Antioquia,Vereda Las Palmas,properties/property_rent.jpg
Finca en Santa Elena,Espectacular finca para descansar,980000000,Venta,500.0,5,4,Disponible,Medellín,Antioquia,Vereda El Placer,properties/property_sale.jpg
Apartamento en Sabaneta,Acogedor apartamento con balcón,2500000,Arriendo,75.0,2,1,Disponible,Sabaneta,Antioquia,Calle 77 Sur #40-15,properties/property_rent.jpg
Loft en El Centro,Loft ideal para una pareja,180000000,Venta,55.0,1,1,Disponible,Medellín,Antioquia,Carrera 46 #52-20,properties/property_sale.jpg
Casa en Rionegro,Casa en conjunto cerrado,3800000,Arriendo,150.0,3,2,Disponible,Rionegro,Antioquia,Kilometro 5 Vía San Antonio,properties/property_rent.jpg
Apartamento en Belén,Apartamento familiar en sector tranquilo,220000000,Venta,85.0,3,2,Disponible,Medellín,Antioquia,Carrera 76 #20-55,properties/property_sale.jpg
Apartamento en Bello,Apartamento con excelentes acabados,1500000,Arriendo,65.0,2,1,Disponible,Bello,Antioquia,Calle 50 #60-32,properties/property_rent.jpg
Casa en La Estrella,Casa con amplias zonas verdes,650000000,Venta,220.0,4,4,Disponible,La Estrella,Antioquia,Carrera 51 #80 Sur-45,properties/property_sale.jpg
Apartamento en Itagüí,Apartamento en unidad residencial,1800000,Arriendo,70.0,3,2,Disponible,Itagüí,Antioquia,Calle 36 #50-10,properties/property_rent.jpg
